COLUMNS,VALUE
70% Of Design MCR - Power,
70% Of Design MCR - Speed,
70% Of DESIGN MCR - CONSUMPTION,
60% Of Design MCR - Power,
60% Of DESIGN MCR - SPEED,
60% Of Design MCR - Consumption,
50% Of Design MCR - Power,
50% Of Design MCR - Speed,
50% Of Design MCR - Consumption,
40% Of Design MCR - Power,
40% Of Design MCR - Speed,
40% Of Design MCR - Consumption,
30% Of Design MCR - Power,
30% Of Design MCR - Speed,
30% Of Design MCR - Consumption,
20% Of Design MCR - Power,
20% Of Design MCR - Speed,
20% Of Design MCR - Consumption,
10% Of Design MCR - Power,
10% Of Design MCR - Speed,
10% Of Design MCR - Consumption,
Calorific Value Of Fuel Bumt To Anive At The Below Consumption (Mj/Kg),
Is the vessel retrofitted with new Panama canal requirement?,
Is the vessel Draft increased?,
Is the vessel TEU increased?,
Is the vessel Elongation carried out?,
Is the vessel Deadweight increased?,
Is the vessel retrofitted with Scrubber?,
Is the vessel bow modified?,
"Is the vessel propeller retrofitted, 1st?",
"Is the vessel propeller retrofitted, 2nd?",
Is the main engine derated permanently / Cylinder bore size decreased?,
Is the Main Engine LNG retrofitted?,
Is the Auxiliary Engine LNG retrofitted?,
Is the Turbo charger cut off carried out in Main Engine?,
Is the vessel equipped with Dual Fuel Usage?,
WG/FW Heat exchanger-Design pressure,
WG/Steam Heat exchanger-Design pressure,
WG Expansion tank- Design pressure,
WG circulating pump - Capacity,
N2 Air compressor capacity,
N2 Generator Capacity,
N2 Buffer tank- Capacity,
Instrument air Dryer - Capacity,
Bunkering Point (Distance from midship in m),
Location of Bunkering point,
Horizontal Bi Lobe LNG tank- Design capacity,
Horizontal Bi Lobe LNG tank- Design Pressure,
Horizontal Bi Lobe LNG tank- Design Temperature,
LNG Supply pump- Design pressure,
LNG Supply pump- Design Capacity,
BOG compressor- Capacity,
LP Buffer tank-Design pressure,
MP Buffer tank - Design pressure,
BOG Mist Separator- Design pressure,
90% of Design MCR - Power,
90% of Design MCR - Speed,
90% of Design MCR - Consumption,
70% of Design MCR - Power,
70% of Design MCR - Speed,
70% of Design MCR - Consumption,
60% of Design MCR - Power,
60% of Design MCR - Speed,
60% of Design MCR - Consumption,
50% of Design MCR - Power,
50% of Design MCR - Speed,
50% of Design MCR - Consumption,
40% of Design MCR - Power,
40% of Design MCR - Speed,
40% of Design MCR - Consumption,
30% of Design MCR - Power,
30% of Design MCR - Speed,
30% of Design MCR - Consumption,
20% of Design MCR - Power,
20% of Design MCR - Speed,
20% of Design MCR - Consumption,
10% of Design MCR - Power,
10% of Design MCR - Speed,
10% of Design MCR - Consumption,
Total Number Of Auxiliary Engine,4
Total Auxiliary Engine Load,
Consumption in Port with No Reefers,
Consumption in Port with Max. Reefers,
Is Auxiliary Engine-1 present?,
AE1- Engine Maker,Man B&W
AE1- Engine Type,6L27/38
AE1- Serial No,
AE1- Engine Fuel Specs,
AE1- Engine Rated Speed,
AE1- Maximum Continuous Rate-Mechanical,
AE1- Max. Electrical Output power (kva),
AE1- Max. Electrical Output power (kW),1800
AE1- Power Factor,
AE1- SFOC at NCR(ISO Corrected),
AE1- SFOC at 50%Load (ISO Corrected),
AE1- Fuel Used to determine SFOC,
AE1- Calorific Value of Fuel Burnt to arrive at SFOC,
AE1- Applicable NOx emission limit,
AE1- Actual NOx emission value,
AE1_TC make,
AE1_TC type,
AE1_TC No of units,
Is Auxiliary Engine-2 present?,Yes
AE2- Engine Maker,Man B&W
AE2- Engine Type,6L27/38
AE2- Serial No,
AE2- Engine Fuel Specs,
AE2- Engine Rated Speed,
AE2- Maximum Continuous Rate- Mechanical,
AE2- Max. Electrical Output power (kva),
AE2- Max. Electrical Output power (kW),
AE2- Power Factor,
AE2- SFOC at NCR(ISO Corrected),
AE2- SFOC at 50%Load (ISO Corrected),
AE2- Fuel Used to determine SFOC,
AE2- Calorific Value of Fuel Burnt to arrive at SFOC,
AE2- Applicable NOx emission limit,
AE2- Actual NOx emission value,
AE2_TC make,
AE2_TC type,
AE2_TC No of units,
Is Auxiliary Engine-3 present?,Yes
AE3- Engine Maker,Man B&W
AE3- Engine Type,6L27/38
AE3- Serial No,
AE3- Engine Fuel Specs,
AE3- Engine Rated Speed,
AE3- Maximum Continuous Rate- Mechanical,
AE3- Max. Electrical Output power (kva),
AE3- Max. Electrical Output power (kW),
AE3- Power Factor,
AE3- SFOC at NCR(ISO Corrected),
AE3- SFOC at 50%Load (ISO Corrected),
AE3- Fuel Used to determine SFOC,
AE3- Calorific Value of Fuel Burnt to arrive at SFOC,
AE3- Applicable NOx emission limit,
AE3- Actual NOx emission value,
AE3_TC make,
AE3_TC type,
AE3_TC No of units,
Is Auxiliary Engine-4 present?,Yes
AE4- Engine Maker,Man B&W
AE4- Engine Type,6L27/38
AE4- Serial No,
AE4- Engine Fuel Specs,
AE4- Engine Rated Speed,
AE4- Maximum Continuous Rate- Mechanical,
AE4- Max. Electrical Output power (kva),
AE4- Max. Electrical Output power (kW),
AE4- Power Factor,
AE4- SFOC at NCR(ISO Corrected),
AE4- SFOC at 50%Load (ISO Corrected),
AE4- Fuel Used to determine SFOC,
AE4- Calorific Value of Fuel Burnt to arrive at SFOC,
AE4- Applicable NOx emission limit,
AE4- Actual NOx emission value,
AE4_TC make,
AE4_TC type,
AE4_TC No of units,
Emergency Generator Present?,
Emergency Engine Maker,
Emergency Generator Capacity,
Emergency Generator Type,
Emergency Generator - Serial No,
Emergency Generator - Fuel Spec,
Emergency Generator - Rated Speed,
Emergency Generator - Maximum Continuous Rate,
Emergency Generator - Actual NOx emission value,
Emergency Generator - Applicable NOx emission limit,
Total Number of Shaft Generator,
No. 1 Shaft Generator Present?,
No. 1 Shaft Generator Capacity,
No. 1 Shaft Engine Type,
No. 1 Shaft Engine Makers,
Remark,
No. 2 Shaft generator present?,
No. 2 Shaft generator Capacity,
No. 2 Shaft Engine Type,
No. 2 Shaft Engine Makers,
Remark,
Turbo Generator Present?,
TG Powered By (Steam/Exhaust),
Turbo Engine Maker,
Turbo Generator Capacity,
Turbo Engine Type,
TG- Engine Rated Speed,
TG- Maximum Continuous Rate,
Remark,
Ships Voltage and Frequency,
Max. Sea Load at Service Speed Without Reefers (kW),
Max. Sea Load at ECO SPEED without Reefers with Main Engine Aux. Blowers on,
Max. Electrical Load at Port or Anchorage without Reefers but with Bow / Stern Thrusters on,
Max. Sea Load with Max. Reefers,
Cold ironing fitted?,
Date of installation,
Number of Bow Thruster,
Is Bow Thruster 1 Present?,
Make,
Type,
Is Bow Thruster 1 Operational?,
Bow Thruster 1 Power,
Comments,
Is Bow Thruster 2 Present?,
Make,
Type,
Is Bow Thruster 2 Operational?,
Bow Thruster 2 Power,
Comments,
Number of Stern Thruster,
Is Stern Thruster Present?,
Make,
Type,
Is Stern Thruster Operational?,
Stern Thruster Power,
Comments,
Weight Of Anchor,
Diameter / Grade of Chain Cable,
Diameter of Towing Wire,
Scrubber installed?,
Is scrubber installation?,
scrubber installation planned date,
Planned scrubber maker?,
Planned scrubber type?,
Installed Scrubber Maker,
Installed Scrubber Serial Number,
U-type Installed?,
Horizontal Type Installed?,
Number of In line Towers?,
Tower nr1 Linked with,
Tower nr2 Linked with,
Tower nr3 Linked with,
Tower nr4 Linked with,
Number of scrubber units,
Type,
Auxiliary Engines Coverage,
Boiler Coverage,
Type of residual waste,
Type of chemical used,
Alkali Tank Capacity,
Sludge Tank Capacity,
Holding Tank Capacity,
Actual power Consumption (Open Loop),
Actual power Consumption (Closed Loop),
Estimated Power Consumption in kW (Open Loop),
Estimated Power Consumption in kW (Closed Loop),
Ratio M/E and EGCS in open loop (%),
Ratio M/E and EGCS in close loop (%),
Maximum Power Intake load Open Loop during sea going (from 3.5%S > 0.5%S Equivalent),
Maximum Power Intake load Open Loop during sea going (from 3.5%S > 0.1%S Equivalent),
Maximum Power Intake load Open Loop during Manoeuvring (from 3.5%S > 0.5%S Equivalent),
Maximum Power Intake load Open Loop during Manoeuvring (from 3.5%S > 0.1%S Equivalent),
Maximum Power Intake load Close Loop during sea going (from 3.5%S > 0.5%S Equivalent),
