"id","paint_id","created_at","updated_at","created_by_id","updated_by_id","paint_name","paint_makers","service_period_years","claimed_speed_loss","claimed_speed_loss_per_year","grade","claimed_fuel_savings","created_user","updated_user","created_time","updated_time"
142,"HEN27",NULL,NULL,NULL,NULL,"Hempel's Nexus II 27400","Hempel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,"HEGNX",NULL,NULL,NULL,NULL,"Hempaguard X7/Hempel's Nexus II 27400","Hempel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,"HEGX9",NULL,NULL,NULL,NULL,"Hempaguard X7/HEMPEL'S A/F GLOBIC 9500M","Hempel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,"HEGNP",NULL,NULL,NULL,NULL,"Hempaguard X7/Hempel's Nexus XPrimer","Hempel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,"HEGX8",NULL,NULL,NULL,NULL,"Hempaguard X8","Hempel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,"JNSQE",NULL,NULL,NULL,NULL,"SEAQUEST ENDURA","Jotun",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,"HEGE4",NULL,NULL,NULL,NULL,"Hempaguard X7/Hempadur Easy 47700","Hempel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,"JNSQT",NULL,NULL,NULL,NULL,"SeaQuantum","Jotun",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,"JNSAF",NULL,NULL,NULL,NULL,"SeaQuantum AF 393","Jotun",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,"JNSSP",NULL,NULL,NULL,NULL,"Seamate M/ SeaQuantum Plus S","Jotun",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,"KCCEP",NULL,NULL,NULL,NULL,"EgisPacific(L)","KCC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,"KCCEE",NULL,NULL,NULL,NULL,"EgisELF II","KCC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,"KCCMC",NULL,NULL,NULL,NULL,"MetaCruise NS","KCC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,"PPSNR",NULL,NULL,NULL,NULL,"Sigma Nexeon 710/ Sailadvance RX","PPG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
